Prompt ID,Category,Prompt Name,Date Used,Task Description,Time Before (min),Time After (min),Time Saved (min),Quality Rating (1-5),Notes
1.1,Code Review & Security,Security Scan,,,,,,, 
1.2,Code Review & Security,Dependency Audit,,,,,,, 
1.3,Code Review & Security,Logic Audit,,,,,,, 
2.1,Debugging,Error Explainer,,,,,,, 
2.2,Debugging,Stack Trace Decoder,,,,,,, 
3.1,Testing,Unit Test Generator,,,,,,, 
3.2,Testing,Integration Test Generator,,,,,,, 
4.1,Documentation,README Writer,,,,,,, 
4.2,Documentation,API Docs Generator,,,,,,, 
5.1,Refactoring,Simplify,,,,,,, 
6.1,Architecture,Design Review,,,,,,, 
7.1,Database,Query Optimizer,,,,,,, 
8.1,API,REST Design,,,,,,, 
9.1,DevOps,GitHub Actions,,,,,,, 
10.1,Career,PR Description,,,,,,, 
