ID,Category,Name,Prompt Template,Best For,Works With
1.1,Code Review & Security,Security Scan,"Review this code for OWASP Top 10 vulnerabilities:\n\n[paste code]\n\nLanguage: [language]\nFramework: [framework]\n\nFor each vulnerability found:\n1. Name (OWASP category)\n2. Severity (Critical/High/Medium/Low)\n3. Affected line(s)\n4. Why it's dangerous\n5. Exact fix with corrected code\n\nIf no vulnerabilities: list 3 security improvements to make it production-grade.",Finding bugs before production,"ChatGPT, Claude, Copilot"
1.2,Code Review & Security,Dependency Audit,"Audit these dependencies for security risks:\n\n[paste package.json / requirements.txt / go.mod]\n\nFor each flagged dependency:\n- Known CVEs (link if possible)\n- Risk level\n- Safe version to upgrade to\n- Breaking change risk\n\nAlso flag: unused deps, duplicate functionality, better alternatives.",Dependency management,"ChatGPT, Claude"
2.1,Debugging,Error Explainer,"I'm getting this error:\n\n[paste full error message + stack trace]\n\nCode context:\n[paste relevant code]\n\nEnvironment: [OS, language version, framework version]\n\nExplain:\n1. Root cause (not just symptoms)\n2. Why it happens\n3. Exact fix\n4. How to prevent it\n5. Similar errors to watch for",Cutting debug time,"ChatGPT, Claude, Copilot"
3.1,Testing,Unit Test Generator,"Write comprehensive unit tests for this function:\n\n[paste function]\n\nLanguage/Framework: [e.g., Python/pytest, JS/Jest]\n\nTests to include:\n1. Happy path (expected inputs)\n2. Edge cases: empty input, null, max values\n3. Error cases: invalid types, out of range\n4. Boundary conditions\n\nFor each test:\n- Descriptive test name (describes behavior, not implementation)\n- Arrange-Act-Assert pattern\n- Mock external dependencies",Getting to 80%+ coverage,"ChatGPT, Claude, Copilot"
4.1,Documentation,README Writer,"Write a README.md for:\n\nProject: [project name]\nWhat it does: [1-2 sentences]\nTech stack: [languages/frameworks]\nTarget user: [who will use this]\n\nInclude sections:\n1. Badges (build, license, version)\n2. What it does + why it's useful\n3. Quick start (< 3 commands)\n4. Installation\n5. Usage with examples\n6. Configuration options\n7. Contributing\n8. License\n\nTone: direct, developer-friendly. No marketing fluff.",README generation,"ChatGPT, Claude"
5.1,Refactoring,Simplify,"Refactor this code to reduce complexity:\n\n[paste code]\n\nGoals:\n- Reduce cyclomatic complexity\n- Eliminate duplication\n- Improve readability\n- Keep identical behavior\n\nConstraints:\n- Keep the same function signatures\n- Don't add new dependencies\n- Maintain existing error handling\n\nShow:\n1. Refactored code\n2. What changed and why\n3. Complexity score before/after (rough estimate)",Cleaning up legacy code,"ChatGPT, Claude, Copilot"
6.1,Architecture,Design Review,"Review this architecture and find problems:\n\n[describe or paste architecture diagram/description]\n\nSystem: [what it does]\nExpected load: [requests/day, data volume]\nTeam size: [small/medium/large]\n\nEvaluate:\n1. Single points of failure\n2. Scalability bottlenecks\n3. Security gaps\n4. Observability gaps (logging, metrics, traces)\n5. Data consistency issues\n\nFor each problem: severity + recommended fix",Design decisions,"ChatGPT, Claude"
7.1,Database,Query Optimizer,"Optimize this SQL query:\n\n[paste query]\n\nDatabase: [PostgreSQL/MySQL/SQLite]\nTable sizes: [rough row counts]\nCurrent execution time: [if known]\n\nProvide:\n1. Identified performance issues\n2. Optimized query\n3. Index recommendations (exact CREATE INDEX statements)\n4. Expected improvement\n5. EXPLAIN ANALYZE output to look for",Queries that don't murder DB,"ChatGPT, Claude"
8.1,API,REST Design,"Design REST API endpoints for: [resource/feature]\n\nContext:\n- App type: [mobile app / web app / microservice]\n- Auth: [JWT / API key / OAuth]\n- Expected scale: [requests/day]\n\nFor each endpoint provide:\n- HTTP method + URL\n- Request body (JSON schema)\n- Response body (success + error)\n- HTTP status codes used\n- Rate limiting recommendation\n\nFollow REST best practices: versioning, pagination, consistent naming.",REST/GraphQL patterns,"ChatGPT, Claude"
9.1,DevOps,GitHub Actions,"Write a GitHub Actions workflow for:\n\nApp: [describe the app]\nLanguage: [language + version]\nTask: [lint → test → build → deploy]\nDeploy target: [AWS/GCP/Heroku/VPS]\n\nInclude:\n- Trigger: push to main + PRs\n- Parallel jobs where possible\n- Cache dependencies\n- Environment secrets handling\n- Rollback on failure\n- Notification on success/failure\n\nOptimize for: speed + security",GitHub Actions/Docker,"ChatGPT, Claude, Copilot"
10.1,Career,PR Description,"Write a PR description for this change:\n\nCode changes: [paste diff or describe changes]\nTicket/issue: [link or description]\nImpact: [what breaks if this is wrong]\n\nInclude:\n- Summary (2-3 sentences, non-technical)\n- Technical changes (bullet points)\n- Testing steps (numbered)\n- Screenshots section placeholder\n- Breaking changes (if any)\n\nTone: professional, direct. Max 300 words.",PRs and communication,"ChatGPT, Claude"
